:Product: Daily Geomagnetic Data     2015_DGD.txt
:Issued: 1800 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                       2015 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2015 01 01     7  2 2 1 1 2 2 2 3     5  1 1 2 1 2 2 1 2     7  2 1 1 1 1 2 2 3
2015 01 02     8  3 1 1 2 2 2 2 3    17  2 2 3 2 5 2 4 3    12  3 1 2 2 3 2 3 4
2015 01 03    13  4 2 3 3 3 3 2 1    18  4 3 3 5 4 2 1 0    15  5 3 3 3 3 2 2 1
2015 01 04    15  0 0 3 4 4 3 2 4    48  0 0 4 7 6 6 4 4    21  1 1 2 4 4 5 4 5
2015 01 05    10  4 2 2 2 2 2 2 2    18  4 3 4 3 3 3 3 3    18  5 3 3 2 2 2 3 3
2015 01 06    11  2 2 3 3 2 3 3 1    20  2 2 4 5 4 4 3 0    13  2 3 3 4 2 3 3 2
2015 01 07    23  2 2 5 5 4 3 2 4    59  2 0 7 8 5 3 3 2    38  3 1 6 7 4 2 3 4
2015 01 08    15  3 5 3 2 2 3 1 2    23  3 3 3 4 5 5 2 2    16  4 4 3 2 2 3 2 3
2015 01 09     7  2 1 3 2 2 2 1 1     8  2 1 2 2 4 2 1 0     8  3 2 3 2 2 2 2 2
2015 01 10     9  1 3 2 2 3 3 2 1    18  1 2 2 5 5 4 1 0    10  2 3 2 2 3 3 1 0
2015 01 11     8  3 1 3 2 2 1 2 1    18  1 1 5 5 4 2 2 1    10  3 2 3 2 2 1 2 2
2015 01 12     7  1 1 1 2 3 2 2 2    16  0 1 1 3 6 3 2 2     8  0 1 1 2 3 2 3 2
2015 01 13     5  1 1 1 1 2 2 2 2    13  1 1 1 3 5 3 2 2     8  2 2 1 2 3 2 2 2
2015 01 14     5  2 1 1 2 2 2 1 1    12  1 1 1 4 5 2 1 0     7  2 1 2 2 3 1 2 1
2015 01 15     5  1 1 1 1 3 2 1 1    14  0 0 4 3 5 3 1 1     6  1 1 2 1 3 2 1 1
2015 01 16     6  1 2 2 1 2 2 2 1    10  0 1 3 4 4 1 1 1     7  1 3 2 2 2 1 2 2
2015 01 17     5  3 2 0 2 1 0 1 1     2  0 1 0 3 0 0 0 0     7  3 3 1 2 1 0 1 2
2015 01 18     3  0 2 0 0 2 1 2 1     2  0 0 0 1 1 1 0 1     5  0 1 0 1 2 1 2 2
2015 01 19     2  2 0 0 0 1 1 1 1     2  0 0 0 1 1 2 1 1     5  3 1 1 1 1 1 1 2
2015 01 20     5  1 1 2 2 1 1 1 2     4  1 0 1 4 0 0 0 0     4  1 1 2 1 1 0 1 1
2015 01 21     7  2 2 1 1 1 2 3 2    10  0 0 0 1 4 4 3 2    11  2 2 2 1 2 3 4 3
2015 01 22     9  3 3 2 2 2 2 2 2    19  3 3 1 5 5 3 2 1    12  4 3 2 3 3 2 2 2
2015 01 23     8  2 3 2 2 2 2 2 1     8  2 2 2 2 3 3 1 1     9  3 3 3 2 2 2 2 1
2015 01 24     5  0 1 1 2 2 2 1 2     7  0 0 0 3 4 2 1 1     7  1 2 1 2 2 2 2 2
2015 01 25     3  0 1 0 0 1 1 1 3     4  0 0 0 3 2 2 1 1     6  1 2 1 0 1 1 1 3
2015 01 26    12  3 2 3 4 3 2 2 1    19  2 1 4 5 4 4 2 1    16  3 3 3 4 3 3 2 2
2015 01 27     9  3 2 3 2 2 2 2 2    13  2 2 3 4 3 3 2 2    12  3 3 3 2 2 3 3 3
2015 01 28     5  2 1 3 2 1 1 0 1    14  2 2 3 5 4 1 1 1     7  3 2 3 2 1 1 1 1
2015 01 29     7  2 1 1 1 2 2 3 2     8  1 0 1 3 2 3 3 2     9  2 1 1 2 2 2 4 3
2015 01 30     8  2 3 2 1 1 2 3 2     9  1 2 3 3 2 2 2 2    11  3 3 2 1 1 2 3 3
2015 01 31     6  1 2 1 1 1 2 2 3     8  1 2 0 3 2 3 2 2     9  2 2 1 2 2 2 2 4
2015 02 01    11  3 1 2 2 2 3 3 3    17  3 1 2 3 3 4 4 4    21  4 3 3 2 2 3 4 5
2015 02 02    17  4 4 3 3 3 3 3 2    44  4 5 5 6 4 6 4 3    27  5 5 4 4 3 4 4 3
2015 02 03    12  3 4 2 2 2 2 2 3    28  3 3 5 5 4 5 3 2    17  4 4 3 2 2 3 3 3
2015 02 04     5  2 1 1 2 2 2 1 1    14  1 2 2 3 5 3 2 2     9  3 2 2 2 3 3 1 2
2015 02 05    10  1 3 1 3 3 3 2 2    21  0 2 1 3 5 6 2 2    13  2 3 1 3 3 4 3 2
2015 02 06     4  0 1 2 2 2 2 1 0     4  1 1 1 2 2 1 1 0     5  1 1 2 2 2 1 1 0
2015 02 07     9  1 0 3 4 2 2 1 2    23  0 0 3 6 5 4 2 1     9  1 0 3 3 2 3 2 2
2015 02 08     7  1 2 2 2 2 2 2 2    14  1 2 5 4 2 2 2 2    10  2 3 3 2 2 2 3 3
2015 02 09     5  2 0 1 0 2 2 2 2     7  2 0 0 1 4 3 1 1     8  3 1 1 1 3 2 2 3
2015 02 10     6  1 2 1 1 2 2 2 2     3  0 1 0 0 2 1 1 2     7  1 3 1 1 1 2 2 3
2015 02 11     5  2 3 0 0 2 2 1 1     8  1 1 0 2 5 1 0 0     7  2 3 1 1 2 1 0 1
2015 02 12     3  1 0 0 1 2 1 1 1     4  0 0 0 0 3 3 1 0     5  2 1 1 1 2 2 2 1
2015 02 13     2  0 0 0 1 2 1 1 1     2  0 0 0 3 1 0 0 0     3  0 0 0 1 1 1 1 1
2015 02 14     2  0 1 1 0 1 1 1 1     0  0 0 0 0 0 0 0 1     3  0 1 1 1 0 0 1 1
2015 02 15     5  0 2 2 1 3 1 1 1    11  1 0 2 3 5 3 1 0     6  1 2 2 2 3 1 1 1
2015 02 16     4  0 1 0 1 2 1 2 2     3  0 0 2 2 1 0 1 1     5  0 1 1 1 1 1 2 3
2015 02 17    18  3 2 3 3 3 3 3 5    27  2 2 3 6 3 5 3 4    22  3 3 3 4 3 3 4 5
2015 02 18    15  5 3 3 3 2 2 2 2    28  4 4 5 5 5 3 2 1    19  5 4 3 3 2 2 2 3
2015 02 19     5  2 2 2 1 1 2 1 1     8  1 2 3 1 3 3 1 1     8  3 3 2 1 1 2 2 2
2015 02 20     4  0 2 2 1 2 1 1 1     7  1 0 2 3 4 1 0 1     6  1 2 2 2 2 1 1 2
2015 02 21     8  3 3 1 1 2 2 2 2     6  2 2 2 3 1 1 0 1     7  3 3 1 1 2 1 1 2
2015 02 22     6  2 1 1 2 2 2 1 2     7  1 2 1 3 3 2 1 0     7  3 2 1 2 1 1 1 2
2015 02 23    14  3 2 2 3 3 4 2 3    25  2 1 4 5 5 5 3 2    17  3 3 3 3 3 4 3 4
2015 02 24    21  5 4 4 4 2 3 2 2    41  5 5 6 6 5 3 2 1    25  5 5 4 4 3 2 2 3
2015 02 25     7  2 1 3 2 3 2 1 0    20  0 0 3 6 5 2 2 0     9  1 1 3 2 3 2 1 1
2015 02 26     5  2 1 2 1 1 2 1 1     8  1 0 4 3 3 1 0 0     5  2 1 2 2 1 0 1 1
2015 02 27     2  0 0 0 0 1 2 1 1     1  0 0 0 0 1 1 0 1     4  1 0 1 1 1 1 1 2
2015 02 28    11  1 2 3 1 2 4 2 3    18  1 1 3 4 3 5 3 3    13  1 3 3 2 2 4 3 3
2015 03 01    23  5 4 5 4 3 2 2 2    36  4 5 5 7 2 1 2 2    28  5 5 5 4 2 2 2 3
2015 03 02    18  4 3 4 4 3 3 3 1    60  3 5 8 6 5 4 3 1    28  4 4 5 5 4 4 3 2
2015 03 03    10  3 3 2 2 2 2 1 3    21  1 2 3 6 5 1 1 2    11  3 3 2 2 2 1 2 3
2015 03 04     9  1 1 1 3 3 2 2 3    12  1 1 1 5 4 1 1 1    10  2 2 2 3 3 1 2 3
2015 03 05     5  0 0 0 1 3 2 2 2     7  0 0 0 3 4 2 2 1     6  1 1 1 2 2 2 2 2
2015 03 06     9  1 2 4 2 2 2 2 2    17  1 3 5 4 4 2 2 1    13  2 3 4 3 2 2 3 3
2015 03 07    17  4 4 3 3 1-1-1 3    27  3 4 5 5 2-1-1 3    20  4 4 3 3 2 4 3 4
2015 03 08     7  2 2 2 2 3 2 1 1    24  3 1 5 5 5 4 1 1    11  3 2 3 3 4 2 2 1
2015 03 09     6  4 1 0 0 2 2 1 1     2  1 1 0 0 0 1 1 0     6  3 2 1 0 1 1 1 1
