:Product: Daily Particle Data        2015_DPD.txt
:Issued: 1800 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                           2015 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2015 01 01    7.7e+05  1.4e+04  2.4e+03   2.3e+09    4.7e+07          -999.99
2015 01 02    1.4e+06  1.5e+04  2.7e+03   1.7e+09    3.2e+07          -999.99
2015 01 03    4.6e+05  1.4e+04  2.6e+03   4.2e+08    1.4e+06          -999.99
2015 01 04    4.4e+05  1.2e+04  2.8e+03   2.8e+08    8.0e+05          -999.99
2015 01 05    1.8e+05  1.1e+04  2.6e+03   6.1e+08    3.0e+06          -999.99
2015 01 06    4.4e+05  1.1e+04  2.5e+03   1.7e+09    2.1e+07          -999.99
2015 01 07    7.9e+05  1.1e+04  2.4e+03   3.1e+08    2.4e+06          -999.99
2015 01 08    3.9e+05  1.1e+04  2.8e+03   7.2e+08    1.5e+06          -999.99
2015 01 09    1.2e+05  1.1e+04  2.8e+03   1.6e+09    6.1e+06          -999.99
2015 01 10    3.0e+05  1.2e+04  3.0e+03   2.4e+09    2.7e+07          -999.99
2015 01 11    1.4e+05  1.2e+04  3.0e+03   1.9e+09    1.7e+07          -999.99
2015 01 12    1.9e+05  1.1e+04  2.8e+03   1.8e+09    2.0e+07          -999.99
2015 01 13    2.2e+05  1.1e+04  2.9e+03   6.8e+08    6.7e+06          -999.99
2015 01 14    2.8e+05  1.2e+04  2.9e+03   6.3e+08    5.2e+06          -999.99
2015 01 15    4.2e+05  1.2e+04  2.8e+03   6.0e+08    5.6e+06          -999.99
2015 01 16    2.4e+05  1.1e+04  2.6e+03   4.5e+08    2.7e+06          -999.99
2015 01 17    2.8e+05  1.1e+04  2.4e+03   5.6e+08    3.9e+06          -999.99
2015 01 18    3.5e+05  1.2e+04  2.5e+03   4.5e+08    3.5e+06          -999.99
2015 01 19    5.9e+05  1.3e+04  2.5e+03   2.8e+08    1.7e+06          -999.99
2015 01 20    7.7e+05  1.3e+04  2.7e+03   1.6e+08    9.5e+05          -999.99
2015 01 21    8.0e+05  1.1e+04  2.5e+03   1.3e+08    1.4e+06          -999.99
2015 01 22    2.6e+05  1.0e+04  2.5e+03   2.4e+08    6.3e+05          -999.99
2015 01 23    1.4e+05  1.1e+04  2.6e+03   1.2e+09    3.8e+06          -999.99
2015 01 24    1.7e+05  1.2e+04  2.7e+03   1.1e+09    4.1e+06          -999.99
2015 01 25    2.2e+05  1.2e+04  2.7e+03   6.7e+08    4.0e+06          -999.99
2015 01 26    2.4e+05  1.1e+04  2.3e+03   1.7e+08    2.1e+05          -999.99
2015 01 27    3.2e+05  1.3e+04  2.4e+03   6.7e+08    1.9e+06          -999.99
2015 01 28    9.5e+05  2.0e+04  2.5e+03   6.3e+08    1.8e+06          -999.99
2015 01 29    2.6e+06  3.5e+04  2.5e+03   9.5e+08    4.3e+06          -999.99
2015 01 30    2.2e+06  6.0e+04  2.4e+03   3.5e+08    1.0e+06          -999.99
2015 01 31    1.3e+06  3.6e+04  2.5e+03   2.8e+08    9.7e+05          -999.99
2015 02 01    8.5e+05  1.3e+04  2.4e+03   2.9e+08    6.7e+05          -999.99
2015 02 02    1.5e+06  1.1e+04  2.5e+03   1.2e+09    1.1e+07          -999.99
2015 02 03    6.5e+05  1.1e+04  2.5e+03   3.3e+09    8.7e+07          -999.99
2015 02 04    4.3e+05  1.2e+04  2.5e+03   4.6e+09    1.9e+08          -999.99
2015 02 05    7.2e+05  1.1e+04  2.7e+03   3.4e+09    1.7e+08          -999.99
2015 02 06    1.1e+05  1.1e+04  2.7e+03   8.9e+08    2.7e+07          -999.99
2015 02 07    2.9e+05  1.1e+04  2.6e+03   7.8e+08    2.3e+07          -999.99
2015 02 08    8.9e+04  1.1e+04  2.5e+03   7.3e+08    1.0e+07          -999.99
2015 02 09    2.8e+05  1.2e+04  2.7e+03   1.4e+09    2.1e+07          -999.99
2015 02 10    1.3e+05  1.1e+04  2.8e+03   9.0e+08    1.1e+07          -999.99
2015 02 11    1.4e+05  1.1e+04  2.8e+03   7.6e+08    1.4e+07          -999.99
2015 02 12    1.4e+05  1.1e+04  2.7e+03   4.1e+08    1.1e+07          -999.99
2015 02 13    1.2e+05  1.1e+04  2.8e+03   1.5e+08    6.7e+06          -999.99
2015 02 14    2.7e+05  1.1e+04  2.6e+03   2.1e+08    1.1e+07          -999.99
2015 02 15    1.9e+05  1.1e+04  2.6e+03   1.6e+08    4.1e+06          -999.99
2015 02 16    2.6e+05  1.1e+04  2.6e+03   9.0e+07    2.4e+06          -999.99
2015 02 17    1.7e+05  1.1e+04  2.4e+03   9.0e+07    3.4e+05          -999.99
2015 02 18    1.0e+05  1.1e+04  2.2e+03   6.0e+08    1.2e+06          -999.99
2015 02 19    9.3e+04  1.0e+04  2.5e+03   1.6e+09    1.4e+07          -999.99
2015 02 20    7.4e+04  1.1e+04  2.7e+03   1.9e+09    2.5e+07          -999.99
2015 02 21    2.2e+05  2.9e+04  2.5e+03   5.0e+08    4.3e+06          -999.99
2015 02 22    7.8e+05  5.1e+04  2.5e+03   2.7e+08    2.4e+06          -999.99
2015 02 23    5.7e+05  1.8e+04  2.5e+03   8.5e+07    2.9e+05          -999.99
2015 02 24    5.5e+05  1.2e+04  2.4e+03   3.5e+08    5.2e+05          -999.99
2015 02 25    4.8e+05  1.3e+04  2.6e+03   8.9e+08    3.8e+06          -999.99
2015 02 26    5.4e+05  1.4e+04  2.6e+03   1.6e+09    9.6e+06          -999.99
2015 02 27    1.7e+06  2.2e+04  2.6e+03   1.4e+09    1.3e+07          -999.99
2015 02 28    1.7e+06  2.4e+04  2.6e+03   5.8e+08    3.8e+06          -999.99
2015 03 01    1.9e+05  1.1e+04  2.5e+03   5.1e+08    1.4e+06          -999.99
2015 03 02    5.5e+05  1.0e+04  2.4e+03   8.9e+08    1.1e+07          -999.99
2015 03 03    2.7e+05  1.1e+04  2.5e+03   3.0e+09    6.4e+07          -999.99
2015 03 04    4.9e+05  1.1e+04  2.4e+03   1.5e+09    3.6e+07          -999.99
2015 03 05    2.7e+05  9.8e+03  2.4e+03   1.4e+09    3.9e+07          -999.99
2015 03 06    1.6e+05  1.1e+04  2.6e+03   3.6e+08    5.7e+06          -999.99
2015 03 07    2.9e+05  1.0e+04  2.5e+03   5.1e+08    4.7e+06          -999.99
2015 03 08    5.3e+05  1.1e+04  2.8e+03   1.7e+09    3.9e+07          -999.99
2015 03 09    3.6e+05  1.1e+04  2.7e+03   2.2e+09    5.3e+07          -999.99
2015 03 10    4.5e+05  1.1e+04  2.6e+03   2.2e+09    5.6e+07          -999.99
2015 03 11    1.3e+06  1.3e+04  2.6e+03   1.1e+09    2.3e+07          -999.99
2015 03 12    5.0e+06  1.4e+04  2.3e+03   4.0e+08    3.9e+06          -999.99
2015 03 13    2.6e+06  1.2e+04  2.5e+03   3.0e+08    2.5e+06          -999.99
2015 03 14    2.6e+06  1.2e+04  2.5e+03   9.7e+07    7.6e+05          -999.99
2015 03 15    7.6e+06  1.2e+05  2.5e+03   1.1e+08    9.9e+05          -999.99
2015 03 16    7.9e+07  2.6e+05  2.3e+03   6.9e+07    1.3e+06          -999.99
2015 03 17    6.0e+07  6.0e+04  1.9e+03   2.1e+07    3.0e+05          -999.99
2015 03 18    6.3e+06  1.2e+04  2.3e+03   2.2e+09    4.8e+07          -999.99
2015 03 19    7.0e+06  1.0e+04  2.4e+03   5.3e+09    5.0e+08          -999.99
2015 03 20    1.2e+06  1.0e+04  2.6e+03   6.1e+09    7.6e+08          -999.99
2015 03 21    9.0e+05  1.0e+04  2.5e+03   6.4e+09    7.9e+08          -999.99
2015 03 22    2.7e+06  1.0e+04  2.3e+03   2.9e+09    2.7e+08          -999.99
2015 03 23    7.8e+05  9.7e+03  2.4e+03   3.0e+09    2.1e+08          -999.99
2015 03 24    2.1e+06  2.0e+04  2.4e+03   3.6e+09    3.0e+08          -999.99
2015 03 25    2.4e+06  2.0e+04  2.4e+03   2.5e+09    1.9e+08          -999.99
2015 03 26    8.3e+05  1.2e+04  2.5e+03   1.6e+09    1.3e+08          -999.99
2015 03 27    6.2e+05  1.3e+04  2.2e+03   1.7e+09    1.0e+08          -999.99
2015 03 28    3.6e+05  1.3e+04  2.3e+03   3.9e+08    2.2e+07          -999.99
2015 03 29    2.5e+05  1.1e+04  2.4e+03   2.8e+08    6.0e+06          -999.99
2015 03 30    5.3e+04  1.1e+04  2.4e+03   2.7e+08    2.2e+06          -999.99
2015 03 31    1.9e+05  1.1e+04  2.4e+03   2.7e+08    9.0e+06          -999.99
2015 04 01    2.9e+05  1.0e+04  2.3e+03   1.9e+08    8.6e+06          -999.99
2015 04 02    3.4e+05  1.1e+04  2.5e+03   1.6e+08    3.3e+06          -999.99
2015 04 03    2.3e+05  1.2e+04  2.8e+03   1.2e+08    2.7e+06          -999.99
2015 04 04    6.7e+05  1.0e+04  2.6e+03   8.6e+08    9.0e+06          -999.99
2015 04 05    6.0e+05  1.1e+04  2.6e+03   1.2e+09    1.2e+07          -999.99
2015 04 06    3.5e+05  1.0e+04  2.4e+03   1.2e+09    1.7e+07          -999.99
2015 04 07    4.0e+05  1.0e+04  2.4e+03   1.3e+09    2.7e+07          -999.99
2015 04 08    3.4e+05  1.0e+04  2.6e+03   1.1e+09    2.3e+07          -999.99
